6804,4064326,2355072,pv,1717272770,1,深圳,小米,0,0
6804,4064326,2355072,buy,1717295015,1,深圳,小米,0,0
1343,4826576,982926,cart,1717294784,0,南宁,荣耀,0,0
3235,4478911,2892802,pv,1717204885,0,广州,OPPO,0,0
3235,4478911,2892802,cart,1717040171,0,广州,OPPO,0,0
3235,4478911,2892802,pv,1717024607,0,广州,OPPO,0,0
10871,3922952,1879194,cart,1717201621,0,南宁,荣耀,0,0
3235,4478911,2892802,buy,1717344345,0,广州,OPPO,0,0
8053,2427001,3002561,pv,1717284730,0,成都,Redmi,0,0
3235,4478911,2892802,pv,1717131406,0,广州,OPPO,0,0
9933,4942818,3340725,cart,1717283674,0,上海,魅族,0,0
6804,4064326,2355072,pv,1717248146,1,深圳,小米,0,0
6672,5144210,1014564,buy,1717130164,1,深圳,小米,0,0
8044,970984,4170419,buy,1717184351,1,武汉,iPhone,0,0
2669,4409185,800581,cart,1717381169,1,珠海,moto,0,0
8940,2157732,2169876,buy,1717438420,1,深圳,小米,0,0
9456,588969,4339722,pv,1717391835,1,深圳,小米,0,0
5826,1080936,2924150,cart,1717209445,1,珠海,moto,0,0
5397,3631439,1061857,pv,1717189558,0,上海,魅族,0,0
1139,737579,4145813,cart,1716928560,0,南宁,荣耀,0,0
5905,4739010,2520771,buy,1717573177,0,成都,Redmi,0,0
2766,1857823,2228184,pv,1717198507,1,北京,三星,0,0
763,413783,5071267,buy,1717273843,0,广州,OPPO,78.3,3
7066,1881717,2885642,pv,1717127257,1,杭州,一加,0,0
5732,4369476,4801426,pv,1717038870,0,南宁,荣耀,0,0
4082,529908,3253210,cart,1717327122,0,南宁,荣耀,0,0
10823,2108289,4238377,buy,1717022296,0,南宁,荣耀,0,0
6804,4064326,2355072,pv,1717492425,1,深圳,小米,0,0
4990,1067172,375240,cart,1717000447,1,杭州,一加,17.2,2
601,3819671,2736436,buy,1717495454,0,成都,Redmi,0,0
3235,4478911,2892802,cart,1717020853,0,广州,OPPO,0,0
6590,4247339,149192,pv,1717166308,0,南宁,荣耀,0,0
6569,3388252,1051370,pv,1717293026,0,南宁,荣耀,25.2,1
1593,4024387,245312,pv,1717465521,0,苏州,联想,0,0
3235,4478911,2892802,cart,1717136999,0,广州,OPPO,0,0
3235,4478911,2892802,cart,1717258075,0,广州,OPPO,0,0
3717,1880991,3844144,pv,1716872477,0,上海,魅族,0,0
4990,1067172,375240,cart,1717330393,1,杭州,一加,17.2,2
4538,3761497,4145813,cart,1717352635,1,珠海,moto,0,0
8039,3722681,1787510,pv,1717085790,0,南宁,荣耀,0,0
3235,4478911,2892802,buy,1717195275,0,广州,OPPO,0,0
10918,3272730,2520771,buy,1717378565,1,南京,vivo,0,0
7459,2310838,3720767,buy,1717374287,0,广州,OPPO,0,0
857,3794789,1575622,buy,1716956677,0,南宁,荣耀,0,0
9456,588969,4339722,cart,1717489036,1,深圳,小米,0,0
7757,592858,238434,pv,1716956813,0,上海,魅族,0,0
4538,3761497,4145813,cart,1717303342,1,珠海,moto,0,0
8727,3598957,4756105,pv,1717059098,0,佛山,HUAWEI,0,0
304,4365847,4672807,pv,1716766319,1,武汉,iPhone,0,0
10425,2970668,4217906,pv,1717099474,1,珠海,moto,0,0
8179,2460075,3002561,cart,1717382456,0,广州,OPPO,0,0
5916,1884210,1859277,cart,1717493650,1,深圳,小米,0,0
3235,4478911,2892802,pv,1717095448,0,广州,OPPO,0,0
8790,739518,982926,buy,1717459482,1,北京,三星,0,0
6941,296506,2732466,buy,1717620303,0,上海,魅族,0,0
3235,4478911,2892802,buy,1717020911,0,广州,OPPO,0,0
6941,296506,2732466,cart,1717469869,0,上海,魅族,0,0
10002,5084741,1854481,pv,1717178800,1,北京,三星,0,0
6090,1152991,4145813,buy,1717030548,1,北京,三星,0,0
5824,3840397,4756105,buy,1717337482,1,武汉,iPhone,0,0
6791,1608132,4719814,cart,1717367226,0,南宁,荣耀,0,0
668,1702547,2026907,cart,1717511075,1,南京,vivo,0,0
4538,3761497,4145813,pv,1717387408,1,珠海,moto,0,0
763,413783,5071267,pv,1717134494,0,广州,OPPO,78.3,3
3982,1923124,4261392,buy,1717520962,1,杭州,一加,12.4,3
8317,2813711,965809,cart,1716797911,0,成都,Redmi,0,0
6804,4064326,2355072,pv,1717630925,1,深圳,小米,0,0
3235,4478911,2892802,cart,1717278243,0,广州,OPPO,0,0
4538,3761497,4145813,cart,1717373414,1,珠海,moto,0,0
6476,564013,982926,cart,1717395581,0,南宁,荣耀,0,0
8829,621636,4789674,buy,1717452569,1,珠海,moto,0,0
7908,291699,411153,pv,1717288827,1,深圳,小米,0,0
3235,4478911,2892802,cart,1717017000,0,广州,OPPO,0,0
6804,4064326,2355072,pv,1717491554,1,深圳,小米,0,0
763,413783,5071267,buy,1717020195,0,广州,OPPO,78.3,3
10828,1737117,3371868,pv,1717163271,1,南京,vivo,0,0
6090,1152991,4145813,cart,1717175990,1,北京,三星,0,0
3235,4478911,2892802,buy,1717358886,0,广州,OPPO,0,0
4866,4153578,2087597,cart,1717160209,1,北京,三星,0,0
4131,4217623,1575622,pv,1717348885,0,佛山,HUAWEI,0,0
1796,36254,3607361,cart,1717453137,0,南宁,荣耀,0,0
3235,4478911,2892802,pv,1717234603,0,广州,OPPO,0,0
2766,1857823,2228184,buy,1717237122,1,北京,三星,0,0
8656,2245653,4145813,pv,1717146346,0,南宁,荣耀,0,0
3235,4478911,2892802,pv,1717004583,0,广州,OPPO,0,0
6804,4064326,2355072,cart,1717604457,1,深圳,小米,0,0
8944,4183849,982926,buy,1717550967,1,武汉,iPhone,0,0
9945,1295236,1356029,pv,1717560927,0,苏州,联想,0,0
6804,4064326,2355072,buy,1717411899,1,深圳,小米,0,0
7302,939715,3975787,buy,1717039401,1,北京,三星,0,0
3235,4478911,2892802,pv,1717229115,0,广州,OPPO,0,0
10563,3730132,4082111,pv,1716939700,0,佛山,HUAWEI,0,0
